id,titulo,categoria,perfil,scoreMeni,aprobadoMeni,publicado,archived,palabras,fecha,scoreFromCalidad,resumenIncoherente,provenance
T1beggQC5fYRGjEo1Szn,"Nicaragua inicia este fin de semana sus desfiles patrios 2026",Nacionales,INVESTIGACION,96,true,1,0,1113,2026-08-12T23:30:29.307Z,0,0,0
3YLvxaAGi5bhcSjJ2XsP,"Nicaragua celebra a la Virgen de la Asunción este 14 de agosto",Nacionales,REPORTAJE,98,true,1,0,1166,2026-08-12T21:57:06.838Z,0,0,0
yP1IkivhMPeNsq1oXh8F,"Condenan a seis años a hombre por envenenar baho en Managua",Sucesos,REPORTAJE,98,true,1,0,591,2026-08-12T20:49:25.539Z,0,0,0
RJU7TDSHj4mI4IP0Pgn8,"Galaxy Z Flip8 ya está en Nicaragua: qué cambia y cuánto cuesta.",Tecnología,REPORTAJE,98,true,1,0,1187,2026-08-12T18:28:22.160Z,0,0,0
gPkIsIZoh7pYHLSmQMe5,"Nicaragüense de León buscada por Interpol es entregada a Honduras",Internacionales,INVESTIGACION,96,true,1,0,693,2026-08-12T16:40:03.033Z,0,0,0
9FIr4GZXnyXqJ6M1Hnw6,"Volcán Telica expulsa gases y ceniza con columnas de 200 metros",Nacionales,REPORTAJE,96,true,1,0,654,2026-08-11T01:00:13.580Z,0,0,0
pVqVbFDgxmZAPOwoE5NM,"Santo Domingo se despide de Managua y regresa a Las Sierritas",Nacionales,REPORTAJE,92,true,1,0,938,2026-08-10T23:29:14.031Z,0,0,0
rqFwODFrM33STTastGnc,"Asesinan a pedradas a hombre durante un robo en Managua",Sucesos,INVESTIGACION,96,true,1,0,973,2026-08-10T22:46:21.237Z,0,0,0
gQKFK5z94pfaHGi2J1Wc,"Cinco motociclistas mueren en distintos puntos de Nicaragua",Sucesos,INVESTIGACION,100,true,1,0,1287,2026-08-10T16:43:20.016Z,0,0,0
NgEysmaqCnykHx2uFm1L,"Toro embiste a hombre durante Tope de Toros en Granada",Sucesos,REPORTAJE,100,true,1,0,708,2026-08-10T15:11:46.727Z,0,0,0
PDYIbuv1snYYNDK54EBN,"Sismo de 7.4 sacude Colombia y deja daños y heridos",Internacionales,REPORTAJE,98,true,1,0,815,2026-08-10T14:39:00.551Z,0,0,0
mEy2ueESYxJq3pH6hQJf,"Miles de familias disfrutan el Tope de Toros en Granada",Nacionales,REPORTAJE,100,true,1,0,712,2026-08-09T22:08:17.108Z,0,0,0
PaUNyoHJ6rvNucj2Yqs0,"Selección de béisbol es recibida con honores en Managua",Deportes,REPORTAJE,96,true,1,0,660,2026-08-09T21:24:00.957Z,0,0,0
sULCr0Y90B43ZpuoK2pJ,"Hombre muere tras resultar herido en el barrio 18 de Mayo",Sucesos,REPORTAJE,100,true,1,0,521,2026-08-09T20:45:33.621Z,0,0,0
4G7Uq0yDZgiHpGyB5GSS,"La Resurrección de Cristo se estrena en el Día de la Ascensión",Espectáculos,REPORTAJE,96,true,1,0,883,2026-08-09T20:00:38.798Z,0,0,0
NsHuiNgmIpEWcaQM37pj,"Dos muertos y tres heridos dejan accidentes en Nicaragua",Sucesos,INVESTIGACION,100,true,1,0,821,2026-08-09T17:43:53.108Z,0,0,0
8sTBWTNIOJGIYfDN062O,"Mirador de Catarina: precios, horarios y qué hacer",Nacionales,REPORTAJE,94,true,1,0,963,2026-08-09T02:58:24.668Z,0,0,0
fO5Xwap5b2F1zefVhs47,"Ercilia Arellano gana festival gastronómico en San Carlos",Nacionales,REPORTAJE,98,true,1,0,755,2026-08-09T02:11:59.830Z,0,0,0
hD0W8NnvJ2aLN2F2O44R,"Hallan sin vida a adulto mayor desaparecido en Madriz",Sucesos,INVESTIGACION,100,true,1,0,648,2026-08-09T01:14:02.467Z,0,0,0
p9YSf3lXdbJITSQClziV,"Spider-Man: Un Nuevo Día rompe récords en su estreno mundial",Espectáculos,INVESTIGACION,94,true,1,0,1177,2026-08-09T00:49:01.294Z,0,0,0
FF8yCcM33HysEtaG3ehp,"Tres accidentes en Nicaragua dejan un motociclista muerto",Sucesos,INVESTIGACION,100,true,1,0,850,2026-08-08T18:47:16.052Z,0,0,0
WT8kWgsAuYm7VnymG07L,"Wilfrido Vargas llega a Nicaragua para su concierto en Managua",Espectáculos,REPORTAJE,96,true,1,0,644,2026-08-08T14:57:59.560Z,0,0,0
WthoTeyDQn3v3a0vBrQA,"Muere Jorge Messi, padre y representante de Lionel Messi",Espectáculos,INVESTIGACION,96,true,1,0,702,2026-08-08T14:24:59.773Z,0,0,0
m9tFCwmKN6OPR5tY2Kgk,"Hospital Vélez Paiz realiza 32 procedimientos cardíacos",Nacionales,REPORTAJE,96,true,1,0,698,2026-08-08T13:53:54.006Z,0,0,0
JyiBCf438iHQhSn1rkpO,"Migrante de Madriz muere en EE.UU.; familia pide ayuda",Internacionales,REPORTAJE,92,true,1,0,730,2026-08-08T04:37:22.327Z,0,0,0
XK3mXDYi2mYHqzUMCvCl,"MAG presenta semillas de frijol resistentes a la sequía",Nacionales,INVESTIGACION,96,true,1,0,663,2026-08-08T03:58:35.869Z,0,0,0
ii6aCymgfcyPAKaAjaPg,"Nicaragua gana plata tras caer ante Panamá en la final de béisbol",Deportes,REPORTAJE,94,true,1,0,543,2026-08-08T03:31:36.082Z,0,0,0
