1. Nicaragüense muere en accidente de tránsito en Costa Rica | NI 2026 (70)
2. 85 familias de Nagarote recibirán viviendas este 22 de mayo | NI (68)
3. Escolta de ULTRAVAL enfrenta juicio por robo en Managua | NI 2026 (70)
4. Autoridades alertan por tormentas eléctricas en Nicaragua | NI (68)
5. Investigan accidentes de moto ocurridos este domingo | Nicaragua 2026 (69)
6. Canadá reporta virus por roedores en Columbia Británica | NI 2026 (69)
7. China clona cabras lecheras de alto rendimiento | Nicaragua 2026 (70)
8. KFC Nicaragua 2026: Apertura en Managua, menú confirmado | NI (70)
9. Nueva vía conecta Laureles Sur con carretera a El Coyotepe | NI (69)
10. Autoridades investigan accidente en Rancho Grande | Nicaragua 2026 (70)
11. Inaugurarán Hospital Pediátrico Las Segovias en Estelí este 18 de mayo (70)
12. Policía decomisa mercadería en operativo de Peñas Blancas | NI (70)
13. Turismo en Nicaragua crece 11% en primer trimestre de 2026 según INTUR (70)
14. Juzgado dicta sentencia por accidente en Nueva Segovia | NI 2026 (70)
15. INETER: pronostican lluvias y tormentas eléctricas en Nicaragua (70)
16. Amgen: alertas por Tavneos tras investigación de seguridad | NI (70)
17. Neymar Jr. se prepara para el Mundial 2026 tras recuperación | NI (70)
18. Metal Sonic se integra oficialmente a la película Sonic 4 | NI 2026 (70)
19. Hospital Bertha Calderón ejecuta con éxito cirugía fetal | NI 2026 (70)
20. Mirador San Francisco de Asís dinamiza turismo en Carretera Norte | NI (70)
21. Temporada de huracanes del Pacífico 2026 inicia con calma | NI (70)
22. Microsoft corrige fallo de seguridad en navegador Edge | NI 2026 (70)
23. Cómo sacar y apostillar récord policial de Nicaragua | NI 2026 (70)
24. Congo activa alerta sanitaria tras nuevo brote de ébola | NI 2026 (70)
25. Descubren dinosaurio gigante en Asia: pesaba 9 elefantes | NI 2026 (70)
26. Familia recibe respuesta tras búsqueda en río Bravo | Nicaragua 2026 (70)
27. Investigan fallecimiento de hombre en local de Managua | NI 2026 (70)
28. OpenAI amenaza con demandar a Apple por crisis de ChatGPT | NI 2026 (70)
29. Costa Rica: investigan muerte de nicaragüense y buscan a sus familiare (70)
30. Operativo contra caponeras deja multas y unidades retenida en Catarina (70)
31. Nacen trillizos en Mulukukú y llenan de alegría a comunidad | NI (70)
32. Windows 11 se instala más rápido tras cambio de Microsoft | NI (70)
33. Irán exige garantías a FIFA por falta de visados para Mundial | NI (70)
34. Reportan accidente laboral de repartidor nicaragüense | Nicaragua 2026 (70)
35. Tres colisiones dejan heridos en Managua y Matagalpa | Nicaragua 2026 (70)
36. Accidente de moto en Puente Muco deja investigación abierta | NI (70)
37. Consulado asiste a nicaragüense tras accidente en Cartago | NI (70)
38. Fiscalía de California investiga fraude de entradas FIFA | NI 2026 (70)
39. Bomberos rescatan trabajador tras caída en Estelí | Nicaragua 2026 (70)
40. MINSA atiende a tres menores tras accidente doméstico | NI 2026 (70)
41. Accidente de tránsito en San Ramón deja dos heridos | Nicaragua 2026 (70)
42. Familia nicaragüense gestiona repatriación desde San Francisco | NI (70)
43. Policía refuerza seguridad en Waslala tras incidente nocturno | NI (70)
44. Shakira lanza Dai Dai, himno oficial del Mundial 2026 | NI (70)
45. Sony Music compra catálogo de Shakira y Beyoncé | Nicaragua 2026 (70)
46. Hallazgo de cuerpo en Muy Muy activa investigación fiscal | NI (70)
47. Sequía extrema afecta 150 millones de hectáreas en Latinoamérica | NI (70)
48. Motociclista que atropelló a dos menores es capturado en Jalapa | NI (70)
49. Semáforos solares modernos entran en funcionamiento en Managua | NI (70)
50. Consulado asiste a familia nicaragüense tras emergencia en Miami | NI (70)
51. Tres ahogados en ríos de Nicaragua durante fin de semana | NI 2026 (70)
52. Menor de edad es retenido tras incidente en Villa Libertad | NI (70)
53. Conductor huye tras atropello mortal en La Ceiba, León | NI 2026 (70)
54. Hallazgo en Carretera Norte activa investigación policial | NI 2026 (70)
